activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
Active,18328935,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@@H](O)[C@@H](C)O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4161541,,CHEMBL4161541,,False,,3043284,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328936,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@H](O)[C@@H](C)O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4164085,,CHEMBL4164085,,False,,3043285,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328937,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c(C(O)C(C)=O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4174741,,CHEMBL4174741,,False,,3043286,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328938,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c(C(C)=O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4170502,,CHEMBL4170502,,False,,3043287,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328939,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c(OC)cc1C=O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL1164301,ASARALDEHYDE,CHEMBL1164301,,False,,3043288,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328940,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1ccc(CCCO)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL2088633,,CHEMBL2088633,,False,,3043289,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328941,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@H]2[C@@H](C)O[C@@H](c3cc(OC)c(OC)cc3OC)[C@@H]2C)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4174980,,CHEMBL4174980,,False,,3043290,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328942,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc([C@H]2OC[C@@H]3[C@@H](c4ccc(O)c(OC)c4)OC[C@H]23)ccc1O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL260183,,CHEMBL260183,,False,,3043291,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328943,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc([C@H]2Oc3c(OC)cc(CCCO)cc3[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL466931,,CHEMBL466931,,False,,3043292,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328944,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc([C@H]2Oc3c(OC)cc(CCCO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3[C@@H]2CO)ccc1O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL1704274,,CHEMBL1704274,,False,,3043293,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
,18328968,[],CHEMBL4135957,Inhibition of alpha-glucosidase (unknown origin) using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000190,BAO_0000224,protein format,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL4130544,J Nat Prod,2017,,CHEMBL404271,ACARBOSE,CHEMBL404271,,False,http://www.openphacts.org/units/Nanomolar,3043294,=,1,True,=,,IC50,nM,,442400.0,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,IC50,uM,UO_0000065,,442.4
,18328969,[],CHEMBL4135957,Inhibition of alpha-glucosidase (unknown origin) using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000190,BAO_0000224,protein format,COc1cc(OC)c([C@@H](OC)[C@H](C)O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,"{'bei': '15.97', 'le': '0.31', 'lle': '2.31', 'sei': '7.16'}",CHEMBL4162593,,CHEMBL4162593,4.09,False,http://www.openphacts.org/units/Nanomolar,3043279,=,1,True,=,,IC50,nM,,80600.0,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,IC50,uM,UO_0000065,,80.6
,18481134,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C(C1=C(O)/C(=C/c2ccc(O)c(O)c2)CCC1)c1ccccc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL3601736,,CHEMBL3601736,,False,http://qudt.org/vocab/unit#Percent,3067327,=,1,True,=,,Inhibition,%,,55.9,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,55.9
,18481135,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C(C1=C(O)/C(=C/c2ccc(O)cc2)CCC1)c1ccccc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL3601735,,CHEMBL3601735,,False,http://qudt.org/vocab/unit#Percent,3067326,=,1,True,=,,Inhibition,%,,34.9,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,34.9
,18481136,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C(C1=C(O)/C(=C/c2cccc(O)c2)CCC1)c1ccccc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL3601637,,CHEMBL3601637,,False,http://qudt.org/vocab/unit#Percent,3067325,=,1,True,=,,Inhibition,%,,43.2,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,43.2
,18481137,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL50,QUERCETIN,CHEMBL50,,False,http://qudt.org/vocab/unit#Percent,3067324,=,1,True,=,,Inhibition,%,,83.6,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,83.6
,18481138,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(O)c(O)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4208759,,CHEMBL4208759,,False,http://qudt.org/vocab/unit#Percent,3067323,=,1,True,=,,Inhibition,%,,90.7,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,90.7
,18481139,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(O)cc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4072055,,CHEMBL4072055,,False,http://qudt.org/vocab/unit#Percent,3067322,=,1,True,=,,Inhibition,%,,53.0,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,53.0
,18481140,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(O)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4212935,,CHEMBL4212935,,False,http://qudt.org/vocab/unit#Percent,3067321,=,1,True,=,,Inhibition,%,,65.1,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,65.1
,18481141,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,COc1cc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc(OC)c1OC,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4209683,,CHEMBL4209683,,False,http://qudt.org/vocab/unit#Percent,3067320,=,1,True,=,,Inhibition,%,,16.3,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,16.3
,18481142,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,COc1ccc(OC)c(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4204199,,CHEMBL4204199,,False,http://qudt.org/vocab/unit#Percent,3067319,=,1,True,=,,Inhibition,%,,43.8,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,43.8
,18481143,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,COc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c(OC)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4216636,,CHEMBL4216636,,False,http://qudt.org/vocab/unit#Percent,3067318,=,1,True,=,,Inhibition,%,,41.0,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,41.0
,18481144,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,COc1cccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1OC,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4167411,,CHEMBL4167411,,False,http://qudt.org/vocab/unit#Percent,3067317,=,1,True,=,,Inhibition,%,,31.8,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,31.8
,18481145,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,COc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4162803,,CHEMBL4162803,,False,http://qudt.org/vocab/unit#Percent,3067316,=,1,True,=,,Inhibition,%,,31.4,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,31.4
,18481146,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,Cc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4202408,,CHEMBL4202408,,False,http://qudt.org/vocab/unit#Percent,3067315,=,1,True,=,,Inhibition,%,,34.1,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,34.1
,18481147,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,Cc1cccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4217724,,CHEMBL4217724,,False,http://qudt.org/vocab/unit#Percent,3067314,=,1,True,=,,Inhibition,%,,47.9,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,47.9
,18481148,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Br)cc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4214990,,CHEMBL4214990,,False,http://qudt.org/vocab/unit#Percent,3067313,=,1,True,=,,Inhibition,%,,29.1,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,29.1
,18481149,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(Br)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4217760,,CHEMBL4217760,,False,http://qudt.org/vocab/unit#Percent,3067312,=,1,True,=,,Inhibition,%,,27.2,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,27.2
,18481150,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1Br,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4205275,,CHEMBL4205275,,False,http://qudt.org/vocab/unit#Percent,3067311,=,1,True,=,,Inhibition,%,,46.8,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,46.8
,18481151,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Cl)c(Cl)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4218160,,CHEMBL4218160,,False,http://qudt.org/vocab/unit#Percent,3067310,=,1,True,=,,Inhibition,%,,48.4,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,48.4
,18481152,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(Cl)c1Cl,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4211867,,CHEMBL4211867,,False,http://qudt.org/vocab/unit#Percent,3067309,=,1,True,=,,Inhibition,%,,44.0,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,44.0
,18481153,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Cl)cc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4203029,,CHEMBL4203029,,False,http://qudt.org/vocab/unit#Percent,3067308,=,1,True,=,,Inhibition,%,,27.6,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,27.6
,18481154,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1Cl,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4208101,,CHEMBL4208101,,False,http://qudt.org/vocab/unit#Percent,3067307,=,1,True,=,,Inhibition,%,,43.0,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,43.0
,18481155,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(F)c(F)c1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4204411,,CHEMBL4204411,,False,http://qudt.org/vocab/unit#Percent,3067306,=,1,True,=,,Inhibition,%,,37.8,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,37.8
,18481156,[],CHEMBL4184971,Inhibition of alpha-glucosidase (unknown origin) at 50 uM using 4-Nitrophenyl-alpha-D-glucopyranoside as substrate incubated foe 5 mins followed by substrate addition measured after 15 mins relative to control,B,,,BAO_0000201,BAO_0000224,protein format,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(F)cc1,,,CHEMBL4184115,Bioorg Med Chem Lett,2018,,CHEMBL4205013,,CHEMBL4205013,,False,http://qudt.org/vocab/unit#Percent,3067305,=,1,True,=,,Inhibition,%,,34.0,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,%,UO_0000187,,34.0
